ID,Year_Birth,Age,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total Amount,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,purchases item count
9909,1996,28,2n Cycle,Married,7500,24,3,18,14,15,22,50,122,3,3,1,3,10
7286,1968,56,Graduation,Together,41728,92,13,6,15,3,5,13,55,1,2,0,2,5
7244,1951,73,Graduation,Single,,96,48,5,48,6,10,7,124,3,2,1,4,10
6566,1954,70,PhD,Married,72550,39,826,50,317,50,38,38,1319,9,5,2,12,28
8614,1957,67,Graduation,Widow,65486,29,245,19,125,37,67,14,507,1,4,2,10,17
4114,1964,60,Master,Married,79143,2,650,37,780,27,167,32,1693,1,6,9,13,29
1331,1977,47,Graduation,Single,35790,54,12,6,20,30,1,3,72,2,2,0,3,7
2225,1977,47,Graduation,Divorced,82582,54,510,120,550,156,40,241,1617,1,4,9,7,21
9381,1978,46,Graduation,Married,66373,57,328,9,124,12,24,109,606,7,4,2,10,23
6260,1955,69,Master,Together,82384,55,984,51,432,180,120,190,1957,1,3,10,13,27
10383,1966,58,Graduation,Divorced,70287,30,295,35,482,121,120,40,1093,1,5,5,10,21
7437,1988,36,Graduation,Single,27938,31,13,0,8,2,1,5,29,1,1,0,4,6
8557,1982,42,Graduation,Single,,57,11,3,22,2,2,6,46,2,2,0,3,7
8375,1968,56,PhD,Married,55954,63,447,0,28,0,0,43,518,3,8,2,6,19
6853,1982,42,Master,Single,75777,12,712,26,538,69,13,80,1438,1,3,6,11,21
3076,1975,49,Graduation,Together,66653,18,452,18,102,16,18,6,612,4,4,2,12,22
1012,1952,72,Graduation,Single,61823,26,523,7,134,37,14,169,884,4,8,2,10,24
6518,1951,73,PhD,Widow,67680,8,546,0,48,0,6,6,606,1,7,3,8,19
4137,1948,76,Graduation,Together,70666,29,398,40,367,119,122,30,1076,1,7,4,4,16
8082,1971,53,Graduation,Married,25721,75,1,3,6,3,6,15,34,1,1,1,2,5
1386,1967,57,Graduation,Together,32474,0,10,0,1,0,0,0,11,1,1,0,2,4
9369,1979,45,2n Cycle,Single,88194,19,688,14,309,201,24,38,1274,1,11,10,10,32
4477,1958,66,Graduation,Together,69096,4,247,49,159,7,82,109,653,1,5,2,10,18
1357,1970,54,Graduation,Together,74854,90,856,59,487,58,29,73,1562,7,2,5,5,19
1402,1954,70,Master,Married,66991,1,496,36,460,189,60,12,1253,3,4,8,6,21
10629,1973,51,2n Cycle,Married,,25,25,3,43,17,4,17,109,3,3,0,3,9
6312,1959,65,Graduation,Married,65031,29,258,107,291,84,37,86,863,4,10,3,13,30
8132,1975,49,PhD,Married,60631,88,565,6,65,0,6,19,661,5,9,2,8,24
1050,1952,72,Graduation,Married,28332,58,14,10,13,4,15,9,65,1,2,1,4,8
5846,1977,47,Graduation,Divorced,40246,68,2,1,6,2,1,1,13,1,1,0,2,4
1859,1972,52,Master,Married,75251,34,721,111,925,97,18,18,1890,1,7,6,5,19
7503,1976,48,Graduation,Single,75825,40,1032,105,779,137,105,51,2209,0,5,8,9,22
10401,1976,48,2n Cycle,Together,26326,12,1,0,5,0,3,9,18,1,0,0,3,4
1618,1965,59,Graduation,Together,56046,9,577,0,64,0,0,51,692,2,10,1,8,21
3332,1985,39,Graduation,Single,29760,87,64,4,68,7,5,17,165,4,3,1,4,12
2261,1969,55,Graduation,Married,26304,5,4,1,5,2,0,4,16,1,1,0,2,4
5346,1973,51,2n Cycle,Married,23559,87,25,5,19,7,0,23,79,3,3,0,3,9
4119,1963,61,Master,Together,38620,56,112,17,44,34,22,89,318,1,2,5,3,11
535,1987,37,Graduation,Divorced,81361,18,163,23,424,27,65,76,778,1,3,10,13,27
5268,1960,64,Graduation,Married,29440,95,17,8,14,10,4,3,56,2,1,0,4,7
273,1970,54,Master,Married,36138,48,130,0,16,0,0,5,151,5,3,1,4,13
4452,1957,67,Graduation,Single,50388,3,292,6,37,0,3,34,372,4,6,1,6,17
8504,1973,51,Graduation,Married,79593,70,350,60,568,110,133,145,1366,1,5,6,7,19
771,1967,57,Graduation,Together,54178,79,135,9,39,4,0,7,194,1,2,2,5,10
8996,1957,67,PhD,Married,,4,230,42,192,49,37,53,603,12,7,2,8,29
9235,1957,67,Graduation,Single,,45,7,0,8,2,0,1,18,1,1,0,2,4
5798,1973,51,Master,Together,,87,445,37,359,98,28,18,985,1,2,4,8,15
11178,1972,52,Master,Single,42394,69,15,2,10,0,1,4,32,1,1,0,3,5
2230,1970,54,PhD,Married,23626,84,27,2,14,0,0,0,43,3,3,1,3,10
7516,1983,41,Graduation,Married,30096,30,5,3,11,12,5,9,45,1,2,0,3,6
7247,1960,64,Graduation,Widow,47916,72,505,0,26,0,0,75,606,5,7,4,6,22
11100,1972,52,Graduation,Divorced,51813,37,51,2,7,0,1,2,63,2,2,0,3,7
4646,1951,73,2n Cycle,Married,78497,44,207,26,447,75,0,223,978,1,5,7,12,25
3037,1983,41,PhD,Married,50150,32,135,46,92,65,61,11,410,2,5,2,7,16
1473,1960,64,2n Cycle,Single,47823,0,53,1,5,2,1,10,72,2,2,0,3,7
1016,1959,65,PhD,Single,34554,43,41,1,6,2,0,5,55,2,2,0,3,7
4518,1979,45,Graduation,Together,85693,59,386,172,183,185,132,111,1169,2,9,5,11,27
9370,1945,79,PhD,Married,65846,68,562,81,276,80,40,81,1120,1,6,3,6,16
8908,1959,65,Graduation,Married,87195,35,217,76,690,50,26,38,1097,1,3,11,5,20
8373,1979,45,Basic,Together,24594,94,1,3,6,10,0,9,29,1,1,0,3,5
7533,1964,60,Graduation,Married,49096,15,144,1,32,2,1,7,187,4,4,1,4,13
2683,1969,55,Graduation,Married,52413,56,295,106,271,75,98,65,910,4,6,4,12,26
3629,1978,46,Graduation,Single,38557,17,76,3,31,4,4,27,145,2,3,1,3,9
10991,1960,64,Master,Married,89058,18,454,194,106,31,22,43,850,1,5,4,4,14
5077,1979,45,Graduation,Together,77298,46,425,115,292,23,35,79,969,1,6,6,11,24
7431,1991,33,PhD,Single,68126,40,1332,17,311,23,51,86,1820,1,7,4,5,17
3267,1963,61,Master,Together,57288,27,527,0,21,0,0,60,608,3,8,1,8,20
999,1991,33,Graduation,Single,86037,95,490,44,125,29,20,22,730,1,6,7,11,25
9215,1980,44,PhD,Married,43974,19,378,0,101,0,0,72,551,5,6,4,6,21
2286,1962,62,Graduation,Single,50785,27,64,1,21,0,1,27,114,2,2,1,3,8
1592,1970,54,Graduation,Married,90765,25,547,99,812,151,82,33,1724,0,4,6,5,15
367,1978,46,2n Cycle,Married,36550,74,47,90,94,123,103,120,577,5,9,1,5,20
5234,1967,57,2n Cycle,Together,30753,85,12,5,25,0,9,30,81,2,1,1,3,7
9862,1969,55,Graduation,Together,21918,37,1,6,7,11,5,3,33,2,2,0,3,7
9805,1953,71,Master,Together,56129,65,320,48,133,39,72,48,660,4,6,2,10,22
6205,1967,57,Master,Single,32557,13,34,3,29,0,4,10,80,3,2,1,3,9
8442,1985,39,Master,Married,19510,63,9,0,7,3,4,7,30,2,1,0,3,6
7386,1976,48,Graduation,Divorced,30992,83,17,0,14,7,3,2,43,1,1,0,3,5
7215,1983,41,Graduation,Single,101970,69,722,27,102,44,72,168,1135,0,6,8,13,27
1491,1965,59,2n Cycle,Together,71488,87,162,33,124,40,28,172,559,2,3,4,7,16
11071,1984,40,Graduation,Single,79607,37,450,133,951,173,0,216,1923,1,3,6,6,16
3381,1953,71,Master,Married,54348,51,70,0,16,0,0,4,90,2,2,0,4,8
8268,1961,63,PhD,Married,,23,352,0,27,10,0,15,404,3,6,1,7,17
11051,1956,68,PhD,Together,77376,72,492,19,110,16,12,12,661,4,6,3,10,23
8026,1952,72,Graduation,Married,62998,10,120,58,73,65,89,58,463,5,5,4,5,19
433,1958,66,Master,Alone,61331,42,534,5,47,0,5,41,632,5,11,1,6,23
9597,1969,55,Graduation,Married,73448,10,236,106,189,23,41,130,725,1,7,2,9,19
1295,1963,61,Graduation,Married,,96,231,65,196,38,71,124,725,1,6,5,7,19
5290,1964,60,PhD,Married,41551,51,220,0,33,3,0,23,279,5,5,1,5,16
1685,1967,57,PhD,Together,62981,21,796,14,590,38,44,0,1482,1,4,5,13,23
5342,1976,48,Basic,Divorced,9548,31,0,1,3,10,6,9,29,2,1,0,3,6
9579,1959,65,PhD,Married,33762,61,53,1,34,2,0,16,106,3,2,2,2,9
7660,1973,51,PhD,Alone,35860,37,15,0,8,4,2,20,49,2,1,1,2,6
1461,1965,59,PhD,Divorced,36921,74,17,1,12,3,1,4,38,2,2,0,3,7
821,1992,32,Master,Single,92859,46,962,61,921,52,61,20,2077,1,5,4,12,22
11084,1976,48,Master,Together,65104,4,738,0,232,13,20,50,1053,2,3,5,7,17
8690,1962,62,Graduation,Married,86111,73,399,28,756,36,40,126,1385,1,5,7,10,23
2937,1974,50,PhD,Single,68352,47,614,16,132,43,33,33,871,3,8,5,9,25
9701,1988,36,Graduation,Together,41883,13,32,34,41,73,16,116,312,3,4,2,3,12
9949,1976,48,Graduation,Married,59809,36,598,16,141,32,41,49,877,3,3,3,6,15
10837,1975,49,Graduation,Married,23957,47,2,1,18,20,11,16,68,1,2,0,3,6
3120,1981,43,Graduation,Together,38547,49,6,1,10,0,1,4,22,1,1,0,2,4
5885,1973,51,2n Cycle,Married,35688,94,73,3,90,12,1,32,211,7,4,1,4,16
4050,1966,58,Master,Married,49605,65,42,16,29,12,20,8,127,1,2,1,4,8
3830,1953,71,Master,Married,59354,59,295,21,78,39,13,13,459,1,4,4,7,16
7987,1969,55,Graduation,Married,65747,96,346,17,48,23,13,13,460,4,8,1,6,19
7798,1972,52,2n Cycle,Together,46344,28,233,20,57,8,20,91,429,4,7,1,5,17
92,1988,36,Graduation,Alone,34176,12,5,7,24,19,14,20,89,4,3,0,4,11
7055,1952,72,PhD,Together,61010,57,888,0,57,0,0,76,1021,2,8,5,11,26
10240,1949,75,Graduation,Together,69372,10,997,26,269,34,13,42,1381,1,10,4,6,21
3025,1958,66,Graduation,Single,49967,4,212,6,69,4,12,3,306,3,6,1,5,15
9283,1978,46,Graduation,Single,60199,49,8,1,7,2,0,0,18,1,0,0,3,4
9970,1977,47,Graduation,Together,55375,3,42,11,57,10,28,14,162,1,1,1,6,9
2730,1955,69,Graduation,Single,80317,64,536,11,387,149,91,57,1231,1,3,4,10,18
2795,1958,66,Master,Single,30523,0,5,0,3,0,0,5,13,1,1,0,2,4
9260,1945,79,PhD,Married,70356,20,1349,16,249,43,16,33,1706,2,10,6,9,27
8182,1984,40,Graduation,Married,23228,91,53,3,49,7,4,5,121,4,3,0,4,11
10095,1975,49,PhD,Divorced,74165,9,1001,12,240,16,12,12,1293,1,5,4,10,20
8475,1973,51,PhD,Married,157243,98,20,2,1582,1,2,1,1608,15,0,22,0,37
4370,1966,58,Graduation,Together,43482,83,18,1,32,6,3,28,88,3,2,0,4,9
10573,1953,71,Graduation,Divorced,62551,27,125,16,98,134,21,27,421,1,6,7,4,18
3712,1959,65,Graduation,Divorced,52332,63,212,5,33,7,0,2,259,1,3,2,6,12
6637,1988,36,Graduation,Single,66951,46,277,162,305,173,76,124,1117,1,3,4,7,15
3152,1957,67,Graduation,Together,26091,84,15,10,19,8,17,20,89,3,2,1,3,9
5610,1965,59,Graduation,Together,33456,58,7,3,10,8,1,7,36,2,1,0,3,6
6460,1982,42,Graduation,Married,28718,78,12,4,6,11,8,16,57,2,2,0,3,7
1349,1970,54,Graduation,Married,50447,4,85,7,24,2,3,27,148,1,3,1,3,8
1880,1959,65,PhD,Together,53537,17,81,0,6,0,0,6,93,2,2,1,3,8
641,1967,57,Graduation,Single,52074,77,59,0,12,0,0,48,119,1,2,2,2,7
8717,1975,49,PhD,Married,80427,56,1149,71,449,69,71,26,1835,1,11,8,8,28
10314,1948,76,PhD,Married,83837,79,847,66,119,86,89,111,1318,1,9,10,5,25
10854,1970,54,PhD,Married,38853,90,29,0,14,0,0,2,45,2,2,0,3,7
10492,1959,65,Graduation,Together,38285,96,2,0,5,2,0,1,10,1,0,0,3,4
6935,1951,73,2n Cycle,Married,78497,44,207,26,447,75,0,223,978,1,5,7,12,25
7698,1976,48,PhD,Married,51650,81,152,3,22,2,5,7,191,1,4,1,4,10
3559,1988,36,2n Cycle,Married,16248,77,12,11,10,3,12,9,57,3,2,1,3,9
10562,1946,78,Master,Married,66835,21,620,26,195,34,17,141,1033,1,6,4,13,24
10796,1984,40,Master,Married,30477,16,47,1,6,0,0,12,66,1,1,1,3,6
2563,1961,63,Basic,Married,28249,80,1,9,7,2,14,10,43,1,2,0,3,6
3518,1983,41,Graduation,Married,25271,45,10,1,18,10,4,7,50,1,1,1,2,5
5823,1970,54,PhD,Single,32303,63,35,0,2,0,0,2,39,2,1,0,4,7
3934,1966,58,Graduation,Married,61286,34,356,0,107,19,9,117,608,2,7,1,8,18
6982,1976,48,Graduation,Married,74068,14,783,30,537,140,76,15,1581,1,4,10,9,24
6431,1964,60,PhD,Married,45759,13,42,1,18,3,0,4,68,2,2,0,3,7
9733,1978,46,Basic,Together,24882,52,1,4,10,29,0,36,80,1,1,1,2,5
5602,1989,35,PhD,Together,66973,98,466,22,432,147,113,102,1282,1,8,7,12,28
7829,1900,124,2n Cycle,Divorced,36640,99,15,6,8,7,4,25,65,1,2,1,2,6
1324,1988,36,Graduation,Married,38872,93,23,3,21,3,19,22,91,2,3,0,3,8
326,1973,51,Graduation,Married,51148,38,235,6,45,8,9,12,315,4,5,1,6,16
7224,1977,47,Graduation,Married,31353,24,10,0,10,3,1,7,31,2,1,1,2,6
6999,1980,44,Master,Married,69661,80,656,16,106,32,16,8,834,1,7,3,12,23
9938,1954,70,Graduation,Married,80067,82,519,17,813,27,173,51,1600,1,4,6,6,17
6422,1954,70,Graduation,Married,86718,20,344,189,482,50,33,172,1270,1,5,6,5,17
3182,1973,51,PhD,Single,46854,81,96,1,79,7,1,79,263,6,5,1,3,15
7300,1952,72,Graduation,Divorced,69142,50,448,4,34,6,4,39,535,3,8,1,7,19
10424,1968,56,Graduation,Single,75922,60,265,138,553,224,23,92,1295,1,4,4,9,18
8727,1978,46,Graduation,Divorced,63693,63,587,43,337,42,87,54,1150,3,11,6,9,29
2798,1977,47,PhD,Together,102160,54,763,29,138,76,176,58,1240,0,7,9,10,26
1030,1965,59,PhD,Single,40637,72,22,0,13,0,0,3,38,2,1,0,3,6
624,1984,40,Master,Single,18890,5,6,4,1,7,2,15,35,1,0,1,2,4
5176,1988,36,Graduation,Together,29604,88,7,6,13,7,6,14,53,1,1,0,3,5
5552,1963,61,Master,Divorced,48721,50,81,18,113,47,13,21,293,6,4,2,5,17
868,1966,58,Graduation,Married,44794,99,54,0,7,0,0,4,65,1,2,0,3,6
380,1954,70,Graduation,Divorced,64497,17,1170,48,320,42,32,192,1804,5,11,4,9,29
2677,1956,68,Graduation,Together,46097,11,72,24,68,65,4,8,241,5,3,1,6,15
6521,1954,70,Graduation,Together,77972,18,613,22,319,33,102,12,1101,1,4,6,9,20
6927,1968,56,PhD,Married,44377,70,224,0,30,0,0,10,264,8,5,1,5,19
2877,1974,50,Master,Together,46014,21,410,0,59,19,9,44,541,10,7,1,8,26
0,1985,39,Graduation,Married,70951,66,239,10,554,254,87,54,1198,1,3,4,9,17
1584,1977,47,Graduation,Married,41443,79,171,7,171,25,19,89,482,6,8,1,5,20
7264,1978,46,2n Cycle,Single,52195,2,12,0,4,0,0,1,17,1,1,0,2,4
6274,1948,76,Master,Married,83790,81,1076,16,417,42,48,16,1615,1,8,10,6,25
1377,1954,70,Master,Widow,44551,24,182,4,33,0,0,66,285,2,4,1,5,12
454,1980,44,Graduation,Together,69508,48,824,32,162,42,32,43,1135,2,11,4,11,28
1755,1988,36,2n Cycle,Together,45204,93,30,11,25,29,1,18,114,1,1,1,4,7
2075,1969,55,Graduation,Married,72460,56,377,10,540,80,30,10,1047,1,3,5,7,16
4785,1970,54,PhD,Together,77622,3,520,7,154,19,0,14,714,2,6,3,11,22
9076,1980,44,PhD,Married,30732,44,155,1,25,0,1,3,185,4,4,1,4,13
7079,1962,62,Graduation,Divorced,63887,38,897,23,207,15,11,92,1245,5,9,6,12,32
4653,1978,46,Graduation,Together,42011,46,131,0,16,2,1,39,189,4,3,1,4,12
7375,1976,48,Graduation,Together,51369,84,297,7,79,0,11,182,576,2,8,2,4,16
709,1952,72,Graduation,Divorced,51537,27,787,20,204,0,0,92,1103,3,2,2,11,18
460,1972,52,PhD,Married,79930,72,792,86,740,67,51,17,1753,1,3,5,8,17
3726,1986,38,PhD,Together,34320,66,4,1,9,3,0,0,17,1,1,0,2,4
6798,1966,58,Graduation,Single,37070,30,231,7,137,4,15,39,433,9,5,1,8,23
5341,1962,62,2n Cycle,Divorced,81975,2,983,76,184,180,138,27,1588,1,6,3,4,14
1606,1971,53,Graduation,Together,38590,65,3,1,8,4,3,3,22,1,1,0,2,4
9617,1951,73,Graduation,Single,15033,37,0,4,5,6,0,4,19,1,1,0,3,5
3233,1965,59,PhD,Married,62745,89,562,21,464,28,10,32,1117,3,7,8,11,29
89,1975,49,2n Cycle,Married,22212,49,5,9,20,6,8,21,69,2,2,0,4,8
2936,1982,42,Master,Together,23661,46,18,0,4,0,0,1,23,1,1,0,3,5
9449,1958,66,PhD,Single,79761,32,415,5,124,15,35,11,605,1,5,2,11,19
7297,1973,51,Graduation,Single,7500,54,5,3,10,12,7,20,57,4,3,1,3,11
11004,1893,131,2n Cycle,Single,60182,23,8,0,5,7,0,2,22,1,1,0,2,4
313,1968,56,Graduation,Widow,73455,98,901,61,757,186,163,20,2088,1,6,5,10,22
9940,1958,66,Graduation,Together,64961,97,382,114,276,75,124,38,1009,2,6,4,4,16
10735,1971,53,Graduation,Single,22804,75,14,1,7,2,1,1,26,1,2,0,2,5
9529,1990,34,Graduation,Married,73687,8,559,153,503,218,13,181,1627,1,3,9,9,22
6439,1958,66,Graduation,Married,61074,37,789,0,133,0,28,152,1102,7,11,5,8,31
7411,1964,60,PhD,Married,31686,31,11,0,5,0,0,1,17,2,1,0,3,6
2176,1972,52,Graduation,Married,80134,40,1218,16,272,104,0,80,1690,2,5,3,6,16
9265,1953,71,Graduation,Married,75027,74,925,64,179,133,12,77,1390,2,9,4,6,21
8867,1988,36,PhD,Married,67546,90,864,134,768,150,38,172,2126,1,4,10,5,20
8932,1969,55,Master,Together,65176,57,960,28,183,220,70,70,1531,4,9,6,6,25
10236,1975,49,Master,Single,31160,59,16,3,25,6,1,13,64,2,2,0,3,7
6340,1985,39,Graduation,Single,29938,52,3,3,7,0,2,11,26,2,1,0,3,6
10089,1974,50,Graduation,Divorced,102692,5,168,148,444,32,172,148,1112,1,6,9,13,29
2227,1958,66,2n Cycle,Together,26490,92,45,47,52,21,20,25,210,2,3,1,5,11
10992,1967,57,Graduation,Together,75702,77,650,28,353,45,42,30,1148,5,4,6,11,26
5304,1974,50,PhD,Single,30899,35,24,0,8,0,0,1,33,2,1,0,3,6
309,1961,63,PhD,Together,63342,48,918,21,118,13,10,21,1101,3,8,3,5,19
3406,1964,60,Graduation,Single,45989,97,138,33,87,28,24,12,322,4,3,2,7,16
2661,1964,60,Graduation,Single,18701,95,12,4,2,10,6,10,44,4,2,0,4,10
3153,1957,67,PhD,Single,40737,24,11,0,4,0,0,2,17,1,1,0,2,4
10264,1979,45,Graduation,Divorced,15287,60,1,2,8,4,3,13,31,2,1,1,2,6
1184,1968,56,PhD,Divorced,69674,46,554,41,215,11,0,24,845,3,10,2,10,25
4200,1970,54,Master,Married,44159,85,167,2,62,24,13,7,275,4,4,1,6,15
9396,1978,46,PhD,Married,37717,31,9,0,6,4,1,5,25,1,1,0,2,4
2387,1952,72,Master,Together,43776,9,177,2,71,3,2,20,275,6,5,2,4,17
6690,1966,58,Master,Married,38179,30,38,4,22,4,2,20,90,4,3,1,3,11
1225,1963,61,Graduation,Married,80124,47,483,84,398,205,84,241,1495,1,3,7,8,19
9703,1970,54,PhD,Married,38097,70,77,2,35,0,1,69,184,4,3,2,2,11
291,1970,54,Graduation,Married,72940,13,182,74,298,162,149,116,981,1,3,3,6,13
4557,1970,54,Graduation,Together,22070,11,10,7,19,8,2,21,67,2,2,2,2,8
2379,1953,71,Graduation,Single,69267,31,778,44,499,95,73,146,1635,2,3,4,5,14
5726,1983,41,Master,Single,31788,15,16,7,23,0,8,6,60,3,3,0,4,10
3066,1975,49,PhD,Together,61905,2,167,0,43,6,2,13,231,2,4,2,4,12
6336,1960,64,Graduation,Married,29315,55,13,2,14,8,7,4,48,4,2,0,4,10
10967,1963,61,Graduation,Divorced,33378,38,33,6,40,3,7,10,99,3,2,0,4,9
2304,1963,61,PhD,Together,66313,86,625,7,99,10,22,7,770,2,6,3,12,23
3445,1956,68,Graduation,Single,60714,56,216,162,224,101,92,162,957,2,7,4,10,23
7828,1981,43,Master,Together,77882,29,68,129,396,188,22,15,818,1,3,3,5,12
3762,1986,38,PhD,Single,69867,30,196,0,512,33,130,54,925,1,3,5,8,17
4391,1968,56,Master,Divorced,63841,64,635,15,100,20,7,131,908,1,9,3,9,22
4669,1981,43,Basic,Married,24480,46,4,19,9,28,25,17,102,3,3,0,4,10
10144,1976,48,Graduation,Together,51369,84,297,7,79,0,11,182,576,2,8,2,4,16
8652,1946,78,Graduation,Together,37760,20,84,5,38,150,12,28,317,2,4,1,6,13
1672,1974,50,PhD,Together,65640,74,204,7,149,20,15,66,461,1,5,1,8,15
8962,1975,49,Master,Married,44319,18,26,0,8,0,0,3,37,2,2,0,3,7
9974,1974,50,Graduation,Married,30631,75,15,6,20,4,5,20,70,1,3,1,2,7
10983,1952,72,Graduation,Together,75278,17,304,98,230,150,74,74,930,1,6,3,13,23
8148,1956,68,Master,Together,50898,88,285,28,242,55,114,135,859,13,6,2,12,33
10102,1966,58,Graduation,Widow,79946,19,395,183,565,166,141,28,1478,1,5,11,5,22
4697,1949,75,Master,Divorced,35416,62,248,3,81,4,3,51,390,3,7,1,5,16
9262,1984,40,2n Cycle,Together,32414,11,20,6,5,0,9,12,52,1,1,0,3,5
7254,1969,55,Graduation,Together,38361,74,39,0,56,20,8,14,137,3,3,1,3,10
4543,1980,44,Graduation,Married,82497,32,777,129,573,216,21,203,1919,1,2,7,9,19
4927,1971,53,Graduation,Together,16626,76,8,3,22,21,1,13,68,3,3,0,3,9
10451,1965,59,Graduation,Together,29672,6,9,1,3,0,4,8,25,1,0,0,3,4
2926,1952,72,Master,Together,55951,62,1241,0,80,0,13,40,1374,3,3,6,11,23
2874,1988,36,2n Cycle,Divorced,35388,20,6,4,7,4,3,8,32,1,1,0,3,5
9738,1986,38,Master,Together,42386,43,65,4,16,0,4,11,100,1,3,0,3,7
7119,1982,42,Graduation,Single,68627,45,395,15,263,60,54,38,825,1,2,3,6,12
3924,1965,59,PhD,Divorced,57912,34,801,0,80,0,0,35,916,5,8,3,12,28
5827,1958,66,Graduation,Divorced,35246,53,36,0,12,2,2,10,62,4,3,1,3,11
5596,1956,68,2n Cycle,Together,58821,44,513,14,154,19,0,28,728,1,9,2,9,21
10812,1978,46,PhD,Married,46377,89,37,0,46,4,3,0,90,1,2,1,3,7
1717,1988,36,Graduation,Single,39747,43,80,15,93,20,13,52,273,3,5,1,4,13
9491,1984,40,Graduation,Together,23976,68,14,1,21,2,3,25,66,3,3,1,3,10
